questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"Real code (bad version, no proxy):

public class RealDocument implements Document {
    private String filename;

    public RealDocument(String filename) {
        this.filename = filename;
        loadFromDisk();
    }

    private void loadFromDisk() {
        System.out.println(""Loading "" + filename + "" from disk... (slow)"");
    }

    @Override
    public void display() {
        System.out.println(""Displaying "" + filename);
    }
}

If you construct 100 RealDocument objects in a loop, how many times does loadFromDisk() actually run?","100 times — every single new RealDocument(...) call triggers its constructor, which unconditionally calls loadFromDisk()",Zero times — loadFromDisk() only runs when display() is called,It depends on how many documents are actually displayed later,Once — loadFromDisk() only runs the first time any RealDocument is created,,1,Each constructor call independently and unconditionally triggers loadFromDisk() — there's no sharing or caching in this version.,1
"The fixed version:

public class DocumentProxy implements Document {
    private String filename;
    private RealDocument realDocument;

    public DocumentProxy(String filename) {
        this.filename = filename;
    }

    @Override
    public void display() {
        if (realDocument == null) {
            realDocument = new RealDocument(filename);
        }
        realDocument.display();
    }
}

Constructing 100 DocumentProxy objects in a loop — how many times does loadFromDisk() run during that loop?",100 times — same as the RealDocument version,"Zero times — DocumentProxy's constructor only stores filename, it never constructs a RealDocument, so no loading happens until display() is actually called on a specific proxy",It throws a NullPointerException since realDocument starts as null,"1 time, since Java automatically deduplicates identical constructor calls",,2,DocumentProxy's constructor is deliberately cheap — construction and loading are fully decoupled.,1
"If you then call .display() on only 3 of those 100 DocumentProxy objects, how many times does loadFromDisk() run in total?","100 times, since all 100 proxies were originally constructed","1 time total, shared across all 3 calls","3 times — once for each proxy whose display() was actually called, since each one independently constructs its own RealDocument the first time it's needed",0 times — loadFromDisk() never runs under the proxy version,,3,"Loading only happens per-proxy, on-demand — exactly the 3 documents actually displayed each pay their own loading cost once.",1
"In DocumentProxy.display(), what does the if (realDocument == null) check actually accomplish?",It prevents display() from ever being called more than once,It checks whether the file exists on disk before loading it,It has no functional purpose and is just defensive coding,"It ensures new RealDocument(filename) only happens once per proxy — the first display() call constructs and stores the real object, and every subsequent display() call on the same proxy skips construction since realDocument is no longer null",,4,This null check is the entire caching mechanism that makes the first call slow and every subsequent call fast.,1
"Given the previous answer, if documents.get(4).display() is called twice in a row on the SAME DocumentProxy instance, does loadFromDisk() run once or twice?",Once — the first call constructs realDocument and caches it; the second call sees realDocument != null and skips straight to realDocument.display() without reconstructing anything,Twice — every display() call always reconstructs the real object fresh,It depends on whether filename changed between calls,"Zero times, since the object is already displayed after the first call",,1,"The null check guarantees at most one construction per proxy instance, regardless of how many times display() is called afterward.",1
Both RealDocument and DocumentProxy implement the exact same Document interface. What specific line of code in Main is the ONLY thing that changes when switching from the bad version to the proxy version?,The loop needs to be changed from a for loop to a while loop,"The line inside the loop that constructs each document — new RealDocument(...) becomes new DocumentProxy(...) — while every other line, including the type of the documents list (List<Document>) and the final .display() call, stays completely identical",Document.display()'s method signature needs to change,"The entire Main class needs to be rewritten, including the Document interface itself",,2,Only the construction call changes — everything downstream that uses the Document interface is unaffected by the swap.,1
"Given the previous answer, what property of DocumentProxy and RealDocument makes this one-line swap possible at all?",Main uses reflection to detect which class is being used automatically,DocumentProxy and RealDocument happen to have identical method bodies,"Both implement the same Document interface, so any code holding a Document reference (like the List<Document> documents) works identically regardless of which concrete class is actually stored inside it — the same polymorphism principle behind every wrapping pattern seen this course",This only works because both classes are in the same file,,3,Shared interface implementation is what allows any caller to remain unaware of which concrete class it's actually holding.,1
"A second, different kind of proxy: an AccessControlledAccount implements BankAccount that wraps a RealBankAccount and only allows withdraw(amount) to go through if a hasPermission check passes, otherwise throwing an exception and never touching RealBankAccount at all. Compare this to DocumentProxy: does AccessControlledAccount also delay construction of the real object, like DocumentProxy does?","Yes, but only if RealBankAccount's constructor is also expensive","Yes — every Proxy must delay construction of the real object, by definition, or it isn't a valid Proxy","No — access-control proxies are actually a completely different, unrelated pattern","Not necessarily — AccessControlledAccount could construct its RealBankAccount immediately, since ITS purpose is controlling ACCESS to method calls (blocking unauthorized withdrawals), not delaying expensive construction; Proxy covers multiple distinct use cases (lazy construction, access control, caching, logging) and a given proxy only needs to solve the specific problem it's built for",,4,"Lazy construction is just one flavor of Proxy — access control is a completely separate, equally valid use case that doesn't require delaying construction at all.",1
"In the AccessControlledAccount example, if hasPermission check fails, does RealBankAccount.withdraw() ever get called?","No — the whole point of this proxy is that it can BLOCK the call entirely when the check fails, never delegating to the real object at all, unlike a Decorator (which is expected to always let the underlying call through)",This cannot be determined without seeing RealBankAccount's code,"Yes, but only after logging the failed attempt first",Yes — the proxy always delegates the call regardless of the permission check,,1,Blocking the real call entirely is a capability unique to Proxy's contract — Decorator's contract forbids this.,1
"This connects directly to something distinguished earlier: Decorator's contract is ""always let the real call through, and add to it."" Proxy's contract is ""control whether/when/how the real call happens, including possibly blocking it entirely."" Given DocumentProxy always eventually calls realDocument.display() (never blocks it, just delays it) — does DocumentProxy still count as a legitimate Proxy despite never actually blocking a call the way AccessControlledAccount does?","No — since DocumentProxy eventually calls display(), it provides no value and isn't a real design pattern","Yes — Proxy's defining trait is CONTROLLING the timing/conditions of access to the real object, and ""delay construction until first use"" is one specific form of that control (lazy initialization), just as valid as ""block the call entirely"" (access control) — both are proxies exercising control over access, just in different ways","Yes, but only because Document has just one method",No — a true Proxy must always be capable of blocking the call; DocumentProxy is actually a Decorator in disguise,,2,Delaying and blocking are both forms of controlling access — Proxy doesn't require every variant to be capable of every kind of control.,1
"A caching proxy: CachedWeatherService implements WeatherService wraps a RealWeatherService (which makes a slow network call) and a Map<String, Double> cache. getTemperature(city) checks the cache first; on a cache hit, it returns the cached value WITHOUT ever touching RealWeatherService. On a cache miss, it calls the real service, stores the result in the cache, then returns it. Does this proxy ever skip calling the real object entirely, like AccessControlledAccount can?","Yes, but only on the very first call ever made","No — a caching proxy must always call the real object at least once per call, by definition","Yes — on a cache hit, RealWeatherService.getTemperature() is never called at all; the proxy answers directly from its own cached data, fully bypassing the real object for that particular call",This cannot be determined without knowing how large the cache is,,3,"A cache hit is another concrete example of a proxy skipping the real object entirely, just triggered by a different condition than access control.",1
"Given CachedWeatherService, DocumentProxy, and AccessControlledAccount all implement the same interface as what they wrap, and all hold the real object via composition — what's the ACTUAL distinguishing feature that separates a Proxy from a Decorator, now that you've seen three different Proxy variations?",A Proxy must always use a Map field; a Decorator never does,There is no real distinguishing feature; Proxy and Decorator are the same pattern under two names,A Proxy can only have one method in its interface; a Decorator can have unlimited methods,"A Proxy reserves the right to NOT always delegate to the real object — it might delay the call (lazy loading), skip it entirely (cache hit, blocked access), or otherwise control access conditionally; a Decorator's contract guarantees the real call always happens, with only extra behavior layered around it, never conditionally skipped",,4,"This is the single unifying rule across all three Proxy variations: conditional, controllable delegation versus Decorator's guaranteed delegation.",1
"A test wants to verify that DocumentProxy.display() only constructs RealDocument on the FIRST call, not on subsequent calls. Given DocumentProxy constructs RealDocument directly inside itself (realDocument = new RealDocument(filename)), rather than accepting it via constructor injection, what real testing limitation does this create compared to something like Processor(IPayment ip)?","There's no way to inject a fake/test RealDocument into DocumentProxy from outside — the test can only verify behavior indirectly (e.g. checking console output, or timing), since DocumentProxy is tightly coupled to constructing the real, concrete RealDocument class itself rather than depending on an externally-provided one",Testing would require modifying the Document interface itself,This makes DocumentProxy.display() impossible to call in any test environment,There's no limitation — DocumentProxy is exactly as testable as Processor,,1,"Internal construction (rather than injected dependencies) is a real, recurring testability cost seen across multiple patterns in this course.",1
"If DocumentProxy needed to be more testable, following the constructor-injection pattern used elsewhere in the course, how would you redesign it — while still preserving the ""lazy construction"" behavior that's the whole point of this proxy?","Simply make realDocument public so tests can set it directly before calling display(), bypassing the laziness check entirely","Instead of constructing RealDocument directly, DocumentProxy could accept a factory/supplier object (something whose job is just ""produce a RealDocument when asked"") via its constructor, and call that factory only inside display() when realDocument == null — preserving laziness while making the actual construction logic swappable for tests",This cannot be done — lazy construction and dependency injection are fundamentally incompatible ideas,"Testability isn't relevant to Proxy since it's a structural pattern, not a behavioral one",,2,Injecting a factory rather than the real object itself preserves laziness while still making construction swappable for tests.,1
"Across DocumentProxy (lazy loading), AccessControlledAccount (access control), and CachedWeatherService (caching) — all three share the exact same STRUCTURE (implement the target interface, hold the real object via composition, forward calls conditionally) but solve three DIFFERENT problems. What's the one-sentence rule for recognizing when a wrapping class is a Proxy rather than a Decorator or an Adapter?","Any class implementing the same interface as another class is automatically a Proxy, regardless of what it does internally","If the wrapper has more than one field, it's automatically a Proxy","If the wrapper's job is to CONTROL access to an already-compatible object (deciding whether, when, or how the real call happens — including skipping or delaying it) rather than translating an incompatible interface (Adapter) or unconditionally adding extra behavior around an always-happening call (Decorator), it's a Proxy","If the wrapper's class name contains the word ""Proxy,"" it's a Proxy; naming is what defines the pattern",,3,This is the synthesis rule tying together all three Proxy variations and distinguishing Proxy cleanly from both Adapter and Decorator.,2
