questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"Real code from class-25:

public class CheckoutFacade {
    private PaymentValidator validator;
    private FraudCheckService fraudCheck;
    private PaymentGateway gateway;
    private NotificationService notifier;

    public void checkout(Order order) {
        validator.validate(order);
        if (fraudCheck.isRisky(order)) {
            throw new RuntimeException(""Payment blocked"");
        }
        gateway.charge(order.getAmount());
        notifier.sendReceipt(order);
    }
}

Without CheckoutFacade, what would a caller placing an order need to do instead?","Directly construct and call all four classes (PaymentValidator, FraudCheckService, PaymentGateway, NotificationService) itself, in the correct order, every single time it needs to process an order",The caller would need to extend all four classes simultaneously,"The order would fail to process without a facade, since Java enforces facades at the compiler level",Nothing changes — Java requires a facade class to call any other class,,1,"Without a facade, every caller has to independently know about and correctly sequence all four subsystem classes themselves.",1
What's the single concrete thing checkout(Order order) actually saves a caller from having to know?,The Order class's internal fields,"The specific four classes involved, and the specific order they must be called in",How to write a for loop,"Nothing — checkout() doesn't actually save anything, it's purely cosmetic",,2,The facade's value is hiding both which classes are involved and the correct sequence to call them in.,1
"If NotificationService.sendReceipt() were accidentally called BEFORE PaymentGateway.charge() inside checkout(), what would happen?","It would cause a compile error, since Java enforces call order automatically",PaymentGateway.charge() would silently be skipped instead,"A receipt would be sent for a payment that hasn't actually been charged yet — a real ordering bug, since checkout()'s whole value is calling these four steps in the CORRECT sequence",Nothing — the four calls are independent of each other and order never matters,,3,Sequencing correctness is entirely the programmer's responsibility inside checkout() — nothing in Java enforces the right order automatically.,1
"Given the previous answer, restate precisely what CheckoutFacade is actually guaranteeing to every caller.",That no exceptions can ever be thrown during checkout,That the four subsystem classes will never change their own internal logic,That Order objects are immutable once constructed,"That the four subsystem calls always happen in the one correct sequence, every single time, regardless of which part of the app is calling checkout() — removing the risk of any caller getting the order wrong themselves",,4,"This is the facade's actual guarantee: consistent, correct sequencing, centralized in one place instead of duplicated and potentially mis-ordered across callers.",1
"CheckoutFacade does NOT implement any shared interface with PaymentValidator, FraudCheckService, PaymentGateway, or NotificationService — there's no common ICheckout interface any of them satisfy. How does this differ from PaymentDecorator (which DOES implements IPayment, the same interface Card/UPI implement)?","CheckoutFacade isn't standing in for or substituting any single one of the four classes — it's coordinating four unrelated classes into a new, higher-level operation, whereas PaymentDecorator specifically pretends to BE an IPayment, substitutable anywhere an IPayment is expected","CheckoutFacade actually does implement a shared interface, it's just not shown in this code",There's no real difference — both are just wrapping classes with identical design rules,"PaymentDecorator also coordinates four unrelated classes, identical to CheckoutFacade",,1,Facade coordinates multiple unrelated classes into a new operation; Decorator substitutes for one specific interface it shares with what it wraps — genuinely different jobs.,1
"Given the previous answer, is CheckoutFacade substitutable anywhere PaymentValidator is expected (the way FeeDecorator is substitutable anywhere IPayment is expected)?",Yes — any wrapping class is automatically substitutable for whatever it wraps,"No — CheckoutFacade implements no shared interface with any of the four classes it wraps, so it cannot be passed anywhere a PaymentValidator, FraudCheckService, PaymentGateway, or NotificationService specifically is expected",This can't be determined without seeing Order's code,"Yes, but only for PaymentGateway specifically",,2,"Substitutability requires a shared interface, which CheckoutFacade deliberately doesn't have with any of its four wrapped classes.",1
"A new team member says: ""Since CheckoutFacade isn't required to implement any interface and doesn't need to satisfy any type-substitutability rule, is it fair to say Facade has basically no structural design constraint compared to something like Adapter?"" Is this a fair characterization?",No — Facade actually has the exact same interface-implementation requirement as Adapter,"Yes, but only because CheckoutFacade happens to be badly written; a ""correct"" Facade would implement an interface","Yes — this is a fair and accurate characterization; Facade's whole mechanism really is just ""group several calls into one method, in the right order,"" with no interface contract, no polymorphism requirement, and no compiler-enforced rule backing it, unlike Adapter (which MUST satisfy a target interface) or Decorator (which MUST remain substitutable for what it wraps)",No — Facade requires at least three wrapped classes to be considered valid,,3,This is an honest assessment: Facade genuinely lacks the structural mechanism that backs Adapter and Decorator.,1
"Given the previous honest assessment — that Facade has no real structural mechanism — what's the actual value it provides, if not type-safety or substitutability?",Its only value is reducing the total number of classes in a codebase,It has no real value at all and should never be used,"It provides the same compile-time guarantees as Adapter and Decorator, just phrased differently","Organizational/readability value: it designates ONE sanctioned, simple entry point for a multi-step operation, so callers don't need to understand or duplicate the internal coordination logic themselves — the value is about hiding complexity and preventing duplicated, error-prone call sequences, not about any type-system guarantee",,4,"Facade's value is entirely organizational — reducing duplicated coordination knowledge across the codebase, not any compiler-enforced guarantee.",1
CheckoutFacade's constructor directly does this.validator = new PaymentValidator(); (and similarly for the other three). What real testing problem does this specific detail create?,"Since the four subsystem objects are constructed directly inside CheckoutFacade's own constructor (not injected from outside), a test cannot substitute fake/test versions of PaymentValidator, FraudCheckService, etc. — unlike Processor(IPayment ip) from the Adapter example, which accepts its dependency externally and is trivially testable with a fake",This only matters if PaymentValidator has a private constructor,There's no testing problem here — CheckoutFacade is exactly as testable as Processor,checkout() cannot be called at all until this is fixed,,1,"Constructing dependencies internally rather than accepting them makes substituting test doubles impossible — a real, common testability cost.",1
"How would you fix the testing problem from the previous question, using a technique already established earlier in this course (see Processor(IPayment ip), FeeDecorator(IPayment ip, FeeStrategy feeStrategy))?",Add a @Testable annotation to CheckoutFacade,"Change CheckoutFacade's constructor to accept the four dependencies as parameters (public CheckoutFacade(PaymentValidator validator, FraudCheckService fraudCheck, PaymentGateway gateway, NotificationService notifier)) instead of constructing them internally — the same dependency-injection technique used everywhere else in the course, allowing tests to inject fakes for each of the four",There is no way to fix this; CheckoutFacade is fundamentally untestable by design,Make all four fields public static so tests can overwrite them directly,,2,Constructor injection is the same fix used consistently throughout the course whenever a class needs to be testable with fakes.,1
