questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"Real code:

public interface FileSystemItem {
    long getSize();
}

public class File implements FileSystemItem {
    private long size;
    public File(String name, long size) { this.size = size; }
    @Override
    public long getSize() { return size; }
}

File.getSize() just returns its own stored size field directly, no loop, no recursion. What role does this play in the tree structure?","It's the ""leaf"" case — the simplest, base-case implementation that terminates recursion immediately with a direct answer, rather than delegating to any children",It's irrelevant to the tree structure since File has no children field,"It's the ""container"" case, since it implements the shared interface","It's a Proxy for Folder, since both implement FileSystemItem",,1,"File is the base case of the recursive structure — it answers directly with no delegation, terminating any recursive chain that reaches it.",1
"Real code:

public class Folder implements FileSystemItem {
    private List<FileSystemItem> children;
    public void add(FileSystemItem item) { children.add(item); }
    @Override
    public long getSize() {
        long total = 0;
        for (FileSystemItem child : children) {
            total += child.getSize();
        }
        return total;
    }
}

Why does Folder.getSize() never need an if (child instanceof File) or if (child instanceof Folder) check inside its loop?","Because Folder can only ever contain File objects, never other Folder objects","Because every child in the list satisfies FileSystemItem, and calling child.getSize() dispatches polymorphically to whichever concrete class's implementation actually applies — the loop's code stays identical regardless of what kind of child it's currently processing",Because getSize() is a static method shared across all implementers,Because Java automatically inserts type checks into every loop over an interface type,,2,Polymorphic dispatch through the shared interface is exactly what removes the need for any type-checking inside the loop.,1
"Given:

Folder root = new Folder(""root"");
File a = new File(""a.txt"", 10);
root.add(a);
System.out.println(root.getSize());

What does this print, and why?",0 — since File doesn't implement getSize() correctly,It throws a NullPointerException since children was never initialized,"10 — root's loop runs once, calling a.getSize(), which returns 10 directly (base case), and root's running total starts at 0 and adds that 10",20 — getSize() doubles the value for auditing purposes,,3,"A straightforward trace: one child, base case returns its own size, total accumulates to 10.",1
"Now extend it:

Folder root = new Folder(""root"");
File a = new File(""a.txt"", 10);
Folder sub = new Folder(""sub"");
File b = new File(""b.txt"", 5);
sub.add(b);
root.add(a);
root.add(sub);
System.out.println(root.getSize());

What does root.getSize() return?",10 — since Folders inside Folders are ignored by getSize(),It throws a ClassCastException since sub isn't a File,5 — only the innermost file's size is counted,"15 — root's loop processes a (returns 10 directly) and sub (which is itself a Folder, so calling sub.getSize() triggers a fresh loop over sub's own children, returning 5 from b), summing to 10 + 5 = 15",,4,"Tracing the nested call: root's loop delegates to sub's own getSize() invocation, which itself sums its own children before returning up to root's total.",1
"In the previous trace, root.getSize()'s loop calls sub.getSize() — which is a completely separate invocation of the SAME method, just running on a different object (sub instead of root). What's the technical term for a method that calls itself (directly or, as here, through calling the same method on a different object of the same type) as part of solving a larger problem?","Recursion — Folder.getSize() solving the ""total size of this folder"" problem by calling getSize() on its children, some of which may themselves be folders needing the exact same kind of solving",Overriding — since sub.getSize() overrides root.getSize(),Delegation — since sub is a completely unrelated class to root,Composition — since sub is composed inside root,,1,"This is precisely what recursion means: the same method being invoked again to solve the same kind of subproblem, just on a smaller/different piece of the structure.",1
"Real code (org chart):

public class Manager implements Employee {
    private List<Employee> directReports;
    public void addDirectReport(Employee employee) { directReports.add(employee); }
    @Override
    public double getTotalSalary() {
        double total = salary;
        for (Employee report : directReports) {
            total += report.getTotalSalary();
        }
        return total;
    }
}

Notice Manager.getTotalSalary() starts total at salary (the manager's OWN salary), not at 0. Why does this differ from Folder.getSize(), which starts its total at 0?","Manager and Folder are actually identical in this respect, and the difference is a typo","A Manager is itself a salaried employee whose own compensation should count toward the total budget, unlike a Folder, which has no size of its own beyond what its contents add up to — the starting value reflects whether the container itself contributes a base value on top of its children","Employee interfaces require starting at salary, unlike FileSystemItem",This is a bug — Manager.getTotalSalary() should start at 0 just like Folder.getSize(),,2,"Whether a container contributes its own base value is a domain-specific design choice, not a rule of the pattern itself — Manager legitimately needs it, Folder legitimately doesn't.",1
"Given the previous insight — that a container can optionally contribute its OWN value on top of its children's values — sketch what would need to change if Folder itself also had a fixed metadata overhead cost (say, every folder takes up 4096 bytes just to exist on disk, separate from its contents)?",This is impossible to represent since FileSystemItem only has one method,This would require abandoning the Composite structure entirely and switching to a completely different pattern,"Folder.getSize()'s total variable would need to start at 4096 instead of 0, then still loop over and sum up all children — same structural pattern as Manager, just with a folder-specific base value instead of a salary",File would need to be modified to account for folder overhead,,3,"Adding a container's own base contribution is a small, localized change to the container's own method — no structural change to the pattern is needed.",1
"Manager.addDirectReport(Employee employee) accepts an Employee, not specifically an IndividualContributor. What real-world structure does this enable, mirroring what Folder.add(FileSystemItem item) enables for folders-within-folders?","Employee must be a concrete class, not an interface, for this to compile","Manager objects can never be added as another Manager's direct report, only IndividualContributors can",This only works if Manager and IndividualContributor are declared in the same file,"A Manager can report to another Manager — since Manager implements Employee, a Manager object satisfies addDirectReport()'s parameter type just like an IndividualContributor does, letting org charts nest to any depth (VP, Director, Manager, IC)",,4,"Accepting the shared interface type is exactly what allows a Manager to report to another Manager, mirroring Folder-within-Folder nesting.",1
"A UI framework has UIComponent interface with void render(). Button implements UIComponent just draws itself. Panel implements UIComponent holds a List<UIComponent> children and its render() loops over them calling child.render() on each, then draws its own border. Is this the same Composite shape as File/Folder, and what's Panel's equivalent of Folder's ""own contribution"" (like the folder metadata overhead discussed earlier)?","Yes, same shape — Button is the leaf, Panel is the container; Panel's ""own contribution"" is drawing its border, which happens in addition to (not instead of) rendering all its children, mirroring how Manager adds its own salary on top of its reports' totals","Yes, but Panel cannot contain another Panel, only Buttons","No — this requires the Decorator pattern instead, since Panel adds its own behavior (drawing a border)","No — UI components can never be structured as a Composite pattern since rendering is visual, not numeric",,1,"The pattern generalizes cleanly beyond numeric aggregation — Panel's border-drawing is its own contribution, analogous to Manager's salary or a hypothetical folder's metadata overhead.",1
"In the UI example, could a Panel contain another Panel as one of its children (a panel nested inside a panel, nested inside a panel, arbitrarily deep — like nested divs)?","Yes, but only up to a hardcoded maximum depth of 3","Yes — since Panel implements UIComponent, and children is typed List<UIComponent>, a Panel satisfies its own container's type requirement, exactly the same mechanism that let Folders nest inside Folders",No — only one level of Panel nesting is possible in any Composite structure,No — Panel would need to extend Button first for this to work,,2,Arbitrary nesting depth is always available once the container implements the same interface it accepts as children — no artificial depth limit exists.,1
