questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"Composition means a class HOLDS a reference to another object as a field (a ""has-a"" relationship). Inheritance means a class EXTENDS another class (an ""is-a"" relationship). Looking at real code from this course:

public class FeeDecorator extends PaymentDecorator {
    ...
}

public class PaymentDecorator implements IPayment {
    protected IPayment ip;
    ...
}

Which relationship does PaymentDecorator's ip field represent — composition or inheritance?","Composition — PaymentDecorator holds an IPayment object as a field, it doesn't extend it","Inheritance — PaymentDecorator ""is-a"" IPayment object",Neither — fields are unrelated to either concept,Both — Java doesn't distinguish between the two,,1,A field holding a reference to another object is the definition of composition — no extends keyword is involved here.,1
"Same file, different relationship:

public class FeeDecorator extends PaymentDecorator {

Is this composition or inheritance, and why?","Neither — extends only applies to interfaces, not classes","Inheritance — FeeDecorator uses the extends keyword, meaning it ""is-a"" PaymentDecorator, gaining its fields and methods directly rather than holding a separate PaymentDecorator object",Both — extends always implies an internal field reference too,Composition — FeeDecorator is just reusing PaymentDecorator's code,,2,"extends is the defining keyword for inheritance in Java — it establishes an is-a relationship, not a has-a one.",1
"Real code from class-21:

public class EmailSubscriber extends User {
    private String email;
    ...
}

Is EmailSubscriber's relationship to User composition or inheritance?","Composition — EmailSubscriber has an email field, which counts as composition",Composition — because EmailSubscriber overrides notifyUser(),"Inheritance — EmailSubscriber extends User directly, gaining User's fields and methods as its own, rather than storing a User object inside itself",It's ambiguous without seeing User's own code,,3,"The extends keyword on User is what determines the relationship type here, not the presence of EmailSubscriber's own unrelated email field.",1
"Real code from class-19/20:

public class MediaPlayer {
    private IState state = StopState.getInstance();
    ...
}

Is MediaPlayer's relationship to IState composition or inheritance?","Inheritance — MediaPlayer ""is-a"" state",Both — since state is assigned a concrete value in the field declaration,Neither — this is an example of the Proxy relationship instead,Composition — MediaPlayer holds an IState reference as a field; it does not extend IState or any state class,,4,"A stored field reference, regardless of whether it's assigned a default value, is composition, not inheritance.",1
"A junior dev says: ""MediaPlayer COULD have been written as MediaPlayer extends PlayState instead of holding an IState field — same end result, just inheritance instead of composition."" What's the concrete problem with this suggestion, given MediaPlayer needs to represent playing, paused, AND stopped states over its lifetime?","A single class can only extend ONE class in Java — if MediaPlayer extends PlayState, it could never also ""be"" PauseState or StopState at different points in time; composition lets MediaPlayer swap which state object its state field points to at runtime, something inheritance to a single fixed parent can never do",This would only be a problem if IState were a class instead of an interface,There's no real problem — MediaPlayer extends PlayState would work identically,PlayState would need to be declared final to prevent this from working,,1,"This is the core reason composition was chosen for State: the ability to change what's referenced at runtime, which fixed single inheritance cannot offer.",1
"Real code from class-22:

public abstract class Level {
    abstract IEnemy createEnemy();
    public void startLevel(){
        IEnemy enemy = createEnemy();
        enemy.attack();
    }
}
public class ForestLevel extends Level {
    IEnemy createEnemy() { return new Goblin(); }
}

This code uses BOTH inheritance and composition — identify each. ForestLevel's relationship to Level is one; startLevel()'s local enemy variable relationship to IEnemy is the other.","Both relationships are composition, since neither uses the extends keyword directly on IEnemy","ForestLevel extends Level is inheritance (is-a); Level's startLevel() obtaining and using an IEnemy object is composition-flavored usage (has-a, at least for the duration of that method call), even though enemy isn't stored as a field here",ForestLevel extends Level is composition; enemy is inheritance,"Both relationships are inheritance, since IEnemy is also extended",,2,"Both flavors of relationship can appear in the same small piece of code — inheritance for the class hierarchy, and object-holding usage for how Level works with an IEnemy.",2
"Real code from class-25 (Composite, file system example):

public class Folder implements FileSystemItem {
    private List<FileSystemItem> children;
    ...
}

Folder implements FileSystemItem (like File does) AND holds a List<FileSystemItem> as a field. Which relationship is which, and why does Folder need BOTH simultaneously rather than just one?",The List field is inheritance since it's typed to the same interface Folder implements,Both are the same relationship expressed two different ways,"implements FileSystemItem establishes the is-a relationship (so a Folder can be treated exactly like a File wherever FileSystemItem is expected, including being added inside another Folder); the List<FileSystemItem> children field is composition (has-a), letting Folder hold any number of child items — neither alone would let a folder both BE a file-system item AND CONTAIN other file-system items","implements is composition here since FileSystemItem is an interface, not a class",,3,"Folder needs both relationships simultaneously to work as a container: is-a for substitutability, has-a for holding its contents.",1
"Real code from class-25 (Facade):

public class CheckoutFacade {
    private PaymentValidator validator;
    private FraudCheckService fraudCheck;
    private PaymentGateway gateway;
    private NotificationService notifier;
    ...
}

CheckoutFacade has FOUR fields, each a different concrete class, with no extends anywhere. Is this composition, and if so, why does CheckoutFacade use four separate fields rather than one shared interface field (the way Folder uses one List<FileSystemItem>)?",Composition only counts when there's exactly one field; four fields makes this something else entirely,"CheckoutFacade should have used extends on all four classes simultaneously, but Java doesn't allow it, which is a limitation being worked around here","This is actually inheritance, since CheckoutFacade depends on all four classes","Yes, this is composition — but unlike Folder's children (which are all interchangeable FileSystemItems doing the same conceptual job), CheckoutFacade's four fields are four DIFFERENT, unrelated responsibilities (validation, fraud-checking, charging, notifying) that don't share a common interface, so each needs its own dedicated field rather than being pooled into one collection",,4,Composition doesn't require a single field or a shared type — a class can hold any number of unrelated dependencies as separate fields.,1
"Real code from class-25 (Proxy):

public class DocumentProxy implements Document {
    private String filename;
    private RealDocument realDocument;
    ...
}

Why does DocumentProxy hold a RealDocument field via composition instead of doing DocumentProxy extends RealDocument?","RealDocument's constructor eagerly loads the file (loadFromDisk()) — if DocumentProxy extends RealDocument, constructing a DocumentProxy would ALSO trigger RealDocument's constructor (since a subclass constructor always invokes its parent's), defeating the entire purpose of delaying that expensive load; composition lets DocumentProxy avoid ever constructing a RealDocument until display() is actually called",There's no real reason — both approaches would behave identically,"RealDocument is declared final, which is why extending it is impossible","Interfaces cannot be extended by classes, so this is a language restriction rather than a design choice",,1,"This is a very concrete, practical reason to prefer composition: inheritance forces the parent constructor to run immediately, which would break the whole point of lazy loading.",1
"This is one of the sharpest reasons composition is often preferred over inheritance: with inheritance, a subclass's constructor is FORCED to run its parent's constructor first (super(), explicit or implicit) — you cannot skip it. With composition, when does the held object actually get constructed?",The held object is constructed automatically by the JVM the first time the field is declared,"Whenever the containing class's code chooses to construct it — DocumentProxy deliberately delays constructing RealDocument until display() is called, something impossible if DocumentProxy had inherited from RealDocument instead, since parent constructors always run immediately during subclass construction","Composition also forces immediate construction, identical to inheritance",There's no timing difference between the two approaches,,2,Composition gives full control over WHEN (or even whether) the held object gets constructed — a freedom inheritance's mandatory super() call does not offer.,1
